File,RPM,Torque,Average Power,Peak Power,Energy,Time
data/13_12.json,44,13760,28816.89467,63392.42285,4726.003068,584.5
data/13_12.json,44,13710,28868.12023,63143.80284,4738.454078,585
data/13_12.json,44,13660,28755.08391,62890.1052,4723.934239,585.5
data/13_12.json,46,12960,29618.09669,62419.1235,4861.556274,585
data/13_12.json,46,12910,29580.65491,62136.83694,4863.710375,586
data/13_12.json,46,13160,29779.21705,63291.17789,4879.647239,584
data/13_12.json,46,13010,29644.34053,62616.80186,4861.705118,584.5
data/13_12.json,70,12160,31863.16816,78197.3385,5234.535622,585.5
data/13_12.json,70,12260,32015.07389,78943.16385,5254.999503,585
data/13_12.json,40,17710,27394.27571,73874.47204,4496.535154,585
data/13_12.json,42,14960,28083.54826,65680.33261,4609.673325,585
data/13_12.json,42,15010,28070.74577,65879.78686,4603.633811,584.5
data/13_12.json,42,15160,28160.34029,66637.52799,4614.376748,584
data/13_12.json,42,14910,28101.73798,65481.7004,4616.601456,585.5
data/13_12.json,52,12410,31556.53323,67548.72933,5170.879744,584
data/13_12.json,52,12310,31277.62283,66785.60451,5133.953242,585
data/13_12.json,52,12260,31257.87605,66738.65359,5135.097202,585.5
data/13_12.json,58,12160,31828.6392,73539.32594,5228.863147,585.5
data/13_12.json,58,12260,31952.07726,74182.74717,5244.659147,585
data/13_12.json,62,12160,31863.16816,78197.3385,5234.535622,585.5
data/13_12.json,62,12260,32015.07389,78943.16385,5254.999503,585
data/13_12.json,64,12160,31863.16816,78197.3385,5234.535622,585.5
data/13_12.json,64,12260,32015.07389,78943.16385,5254.999503,585
data/13_12.json,48,12560,30160.3292,63068.77652,4954.790333,585.5
data/13_12.json,48,12610,30360.09939,63358.31235,4983.349648,585
data/13_12.json,48,12660,30287.84584,63624.71321,4967.240711,584.5
data/13_12.json,54,12160,31292.87915,68758.0241,5145.237706,586
data/13_12.json,54,12260,31552.02258,69030.67114,5178.993606,585
data/13_12.json,60,12160,31830.3264,75133.57281,5229.140322,585.5
data/13_12.json,60,12260,31963.45972,75823.26384,5246.52748,585
data/10_9.json,66,21510,38870.56423,141949.1439,6374.816159,584.5
data/10_9.json,66,21260,38575.61073,142825.385,6337.267139,585.5
data/10_9.json,66,21360,38398.2355,140481.3557,6302.740675,585
data/10_9.json,66,21760,38865.03422,145330.5182,6368.456786,584
data/10_9.json,56,21510,37587.81321,125813.2834,6174.990078,585.5
data/10_9.json,56,21610,37920.3458,126369.7743,6224.299185,585
data/10_9.json,56,21260,37605.6781,123186.7596,6183.200721,586
data/10_9.json,56,21760,38110.67999,127577.404,6250.194291,584.5
data/10_9.json,68,21510,38870.56423,141949.1439,6374.816159,584.5
data/10_9.json,68,21260,38575.61073,142825.385,6337.267139,585.5
data/10_9.json,68,21360,38398.2355,140481.3557,6302.740675,585
data/10_9.json,68,21760,38865.03422,145330.5182,6368.456786,584
data/10_9.json,50,23010,36292.27803,119222.6658,5957.065839,585
data/10_9.json,50,23260,36342.39563,121677.1532,5960.193671,584.5
data/10_9.json,50,22760,36263.35339,118886.5984,5962.49301,586
data/10_9.json,78,21510,38870.56423,141949.1439,6374.816159,584.5
data/10_9.json,78,21260,38575.61073,142825.385,6337.267139,585.5
data/10_9.json,78,21360,38398.2355,140481.3557,6302.740675,585
data/10_9.json,78,21760,38865.03422,145330.5182,6368.456786,584
data/10_9.json,74,21510,38870.56423,141949.1439,6374.816159,584.5
data/10_9.json,74,21260,38575.61073,142825.385,6337.267139,585.5
data/10_9.json,74,21360,38398.2355,140481.3557,6302.740675,585
data/10_9.json,74,21760,38865.03422,145330.5182,6368.456786,584
data/10_9.json,76,21510,38870.56423,141949.1439,6374.816159,584.5
data/10_9.json,76,21260,38575.61073,142825.385,6337.267139,585.5
data/10_9.json,76,21360,38398.2355,140481.3557,6302.740675,585
data/10_9.json,76,21760,38865.03422,145330.5182,6368.456786,584
data/10_9.json,72,21510,38870.56423,141949.1439,6374.816159,584.5
data/10_9.json,72,21260,38575.61073,142825.385,6337.267139,585.5
data/10_9.json,72,21360,38398.2355,140481.3557,6302.740675,585
data/10_9.json,72,21760,38865.03422,145330.5182,6368.456786,584
data/10_9.json,44,32460,33423.81889,149007.6183,5495.611075,586
data/10_9.json,44,34460,33651.70748,158033.754,5523.638853,585
data/10_9.json,44,36510,34089.56689,167361.6018,5585.944743,584
data/10_9.json,46,26810,34493.68203,128898.4505,5666.680929,585.5
data/10_9.json,46,27310,34804.57305,131289.1608,5707.989043,584.5
data/10_9.json,46,26310,34407.44097,126620.4647,5657.340182,586
data/10_9.json,46,27060,34600.69249,130050.718,5679.406596,585
data/10_9.json,70,21510,38870.56423,141949.1439,6374.816159,584.5
data/10_9.json,70,21260,38575.61073,142825.385,6337.267139,585.5
data/10_9.json,70,21360,38398.2355,140481.3557,6302.740675,585
data/10_9.json,70,21760,38865.03422,145330.5182,6368.456786,584
data/10_9.json,52,22360,37089.86389,121495.509,6087.982709,585
data/10_9.json,52,22260,36905.8719,121173.1549,6062.959595,585.5
data/10_9.json,52,22510,37230.66771,122382.1131,6105.87129,584.5
data/10_9.json,52,22760,37182.03549,123804.1845,6092.679216,584
