dists,speed
2440,29.5110929
2443,28.9800436
2445.000244,28.6491336
2448.000244,28.1524148
2450,27.839209
2453,27.3480656
2455.000244,27.025131
2458.000244,26.4943244
2460,26.1510943
2462.000244,25.8398588
2465.000244,25.38134
2467,25.1011592
2469,24.8600022
2472,24.5273091
2474,24.3636951
2476,24.3636951
2478.000244,24.313055
2481.000244,24.313055
2483,24.313055
2485.000244,24.5486431
2487,24.9376717
2489,25.4128609
2492,25.8599491
2494.000244,26.5305862
2496,27.387352
2499,28.3242321
2501.000244,29.2315712
2503,30.1930103
2506,31.4248333
2508.000244,32.873394
2511.000244,34.3915176
2513,35.8279762
2516,37.4090385
2518.000244,39.417572
2521.000244,41.7667236
2524.000244,44.2303772
2526,46.5634537
2529,49.300209
2532,52.8532677
2535,57.1884651
2538,57.6264163
2541.000244,57.2061543
2544.000244,56.7033589
2547.000244,56.1426832
2550.000244,55.5483536
2554.000244,54.7418358
2557.000244,54.1973668
2560.000244,53.6421154
2564.000244,52.7619832
2567.000244,52.0912721
2571,51.1824352
2574,50.4910744
2577.000244,49.7917722
2581,48.8445715
2584,48.121525
2588,47.1380706
2591,46.3855945
2595,45.3608168
2598,44.5758168
2601,43.7773246
2605,42.691989
2608,41.8634655
2611,41.0209276
2614,40.1672164
2617,39.30614
2620.000244,38.440839
2623.000244,37.5728512
2626.000244,36.6985912
2629.000244,35.827285
2632,34.9682939
2635,34.1258061
2638,33.296317
2641,32.4771878
2643.000244,31.9584567
2646.000244,31.2208209
2649.000244,30.5166473
2651,30.0743086
2654,29.4412677
2657,28.8483132
2659.000244,28.5044484
2662.000244,28.0224403
2664,27.7236341
2667,27.2949093
2669.000244,27.0536756
2671,26.864764
2674,26.5855419
2676,26.4025664
2678,26.2402049
2680,26.1132512
2683,25.9196774
2685.000244,25.820386
2687,25.7055588
2689.000244,25.7055588
2691,25.7055588
2694,25.7557316
2696,26.0062809
2698.000244,26.4070873
2700,26.7098465
2703,27.2873554
2705.000244,28.1624146
2707,29.2625847
2710,30.4450893
2712.000244,31.714304
2715.000244,33.4921646
2717,35.6877937
2719,37.9798737
2722,39.9941063
2724,42.6803207
2727,45.8858261
2730,49.3865166
2732,49.4173582
2735.000244,48.9437459
2738.000244,48.3804528
2740,47.9615724
2743,47.3193025
2746,46.6713039
2749,46.1384642
2752,45.5852799
2755,44.9136632
2758.000244,44.2235218
2761.000244,43.5669984
2764.000244,42.9456506
2767.000244,42.359632
2770,41.8198339
2773,41.3196405
2776,40.8352909
2779,40.3400699
2782,39.8468052
2785,39.3420168
2788,38.821553
2791.000244,38.2948029
2793,37.9586181
2796,37.447895
2799,36.9627801
2802,36.5366853
2805,36.1828266
2808,35.8728209
2811,35.6499062
2814.000244,35.6499062
2817.000244,35.6499062
2820.000244,35.9867401
2823.000244,36.7005386
2826,37.1851044
2830.000244,38.2049828
2833.000244,39.6861305
2836,41.295475
2839,42.6099815
2842,44.3596077
2845,46.0405998
2848,47.182373
2852,47.6376076
2855,47.6653099
2858,47.6981583
2862,47.6509972
2865,47.6509972
2868,47.6509972
2872,47.8007011
2875,47.8814774
2879.000244,48.0610504
2882,48.083711
2885,47.970105
2889.000244,47.7849023
2892.000244,47.6230199
2896.000244,47.4043752
2899.000244,47.2768658
2903,47.1789001
2906.000244,47.11973
2910,47.1193047
2913,47.1193047
2917,47.6891365
2920,48.7819672
2924,50.299015
2928,51.5908623
2931,53.8596077
2935.000244,57.187149
2939.000244,61.2691422
2942.000244,65.3394775
2946,71.4608383
2950,75.4058552
2954,74.9294452
2958.000244,74.3784888
2961,73.9417459
2965.000244,73.3253259
2969,72.6880569
2973,72.0382719
2977,71.3804768
2981.000244,70.7159202
2985.000244,70.0448388
2989,69.3672252
2993,68.6836519
2998.000244,67.8202902
3002,67.1222967
3006,66.4175577
3010,65.7060727
3014.000244,64.987772
3019,64.080043
3023,63.3462652
3027.000244,62.6050317
3031.000244,61.8578763
3036,60.9174568
3040.000244,60.162353
